school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;Risco_Evasao
GP;M;20;R;GT3;A;1;3;teacher;at_home;other;other;1;1;0;no;yes;no;yes;yes;yes;yes;yes;5;4;1;2;3;3;6;15;14;15;0
MS;M;19;R;GT3;T;1;2;services;teacher;course;other;1;3;0;yes;no;no;yes;no;yes;no;yes;1;5;2;1;1;5;12;11;12;13;0
GP;M;18;U;GT3;A;1;2;services;health;course;father;3;3;0;yes;no;no;yes;yes;yes;yes;no;1;4;2;4;4;5;6;9;9;9;1
GP;M;15;U;LE3;T;1;3;other;other;other;father;2;4;0;no;no;no;no;no;yes;no;yes;5;2;3;5;3;1;15;13;13;14;0
GP;F;21;R;LE3;T;4;4;health;services;course;other;2;4;0;no;yes;yes;no;yes;yes;no;no;5;4;5;4;1;3;21;11;12;12;0
MS;M;19;U;LE3;A;3;4;teacher;services;home;mother;2;3;0;yes;yes;no;no;no;yes;no;yes;4;5;2;3;5;3;27;12;12;12;0
GP;M;21;U;LE3;T;0;2;teacher;health;other;other;2;4;1;no;no;yes;no;yes;yes;yes;yes;5;5;1;4;2;1;4;6;7;8;1
GP;F;15;R;GT3;T;2;1;services;teacher;course;mother;1;3;0;no;no;yes;yes;no;yes;yes;no;2;5;4;5;1;2;8;13;13;13;0
GP;F;17;R;LE3;A;4;4;health;services;other;mother;1;1;0;no;no;no;yes;yes;yes;yes;yes;1;1;2;1;2;1;6;15;15;15;0
MS;M;15;U;LE3;T;0;3;other;health;home;father;4;1;0;yes;no;no;no;no;yes;no;no;1;2;5;2;5;2;2;12;11;12;0
GP;M;20;R;GT3;A;4;4;health;at_home;course;mother;3;2;0;yes;no;yes;no;yes;yes;yes;yes;5;1;3;3;1;1;16;9;10;11;0
GP;M;15;U;LE3;A;4;3;at_home;teacher;home;mother;3;1;0;no;yes;yes;no;no;yes;no;yes;3;3;1;5;4;2;8;14;14;14;0
GP;M;15;U;LE3;A;2;2;health;other;course;other;2;3;0;yes;yes;no;no;no;yes;yes;yes;3;2;3;3;3;2;12;11;10;11;0
GP;M;20;U;LE3;T;3;4;at_home;services;reputation;father;1;4;0;no;yes;yes;yes;yes;yes;yes;yes;5;4;4;4;1;1;8;11;11;12;0
MS;M;18;R;LE3;T;1;3;at_home;health;course;mother;2;2;1;no;no;no;no;no;yes;no;yes;2;5;2;3;5;2;14;7;6;7;1
GP;F;15;U;LE3;T;3;2;other;at_home;other;mother;4;4;0;yes;yes;no;no;yes;yes;no;no;3;3;2;5;1;4;6;16;16;17;0
MS;M;20;U;LE3;A;2;1;services;other;course;father;3;3;0;no;yes;yes;no;yes;yes;yes;yes;5;2;5;2;2;5;9;13;14;14;0
MS;M;19;U;GT3;T;2;3;health;health;home;other;3;1;0;no;yes;yes;no;yes;yes;yes;no;2;1;2;2;1;3;12;11;12;12;0
MS;F;17;R;GT3;A;2;1;at_home;health;home;father;2;2;0;yes;no;no;no;no;yes;yes;yes;2;5;1;3;4;2;4;10;11;12;0
GP;F;17;R;LE3;A;0;1;health;other;course;father;4;3;0;no;no;yes;no;no;no;no;no;4;1;4;1;1;2;15;9;10;10;0
MS;F;15;R;LE3;T;3;0;services;at_home;other;mother;3;2;0;no;yes;no;no;yes;yes;no;yes;2;2;3;3;3;3;6;13;12;13;0
GP;F;18;R;GT3;A;3;4;services;at_home;reputation;mother;4;2;0;no;no;no;yes;yes;yes;yes;no;3;2;4;4;1;2;8;14;13;14;0
MS;M;18;R;LE3;T;4;3;teacher;teacher;other;other;4;1;1;yes;yes;no;yes;no;yes;yes;no;3;3;2;2;2;3;8;7;8;8;1
MS;M;19;U;LE3;T;4;1;services;services;reputation;mother;2;3;0;no;yes;yes;yes;no;yes;no;yes;5;4;3;2;1;1;4;12;13;13;0
MS;M;15;R;LE3;T;4;0;other;other;home;mother;1;4;2;yes;yes;no;yes;no;yes;yes;yes;5;1;5;2;4;4;11;6;6;6;1
MS;M;17;R;GT3;T;2;2;at_home;other;other;father;2;2;0;no;yes;no;yes;yes;yes;no;yes;2;3;4;1;5;4;4;15;16;16;0
MS;M;18;R;LE3;T;3;3;teacher;other;reputation;mother;1;2;0;no;no;no;yes;yes;yes;no;no;1;5;3;1;1;5;18;8;9;10;0
MS;M;15;U;GT3;A;2;1;other;at_home;course;other;4;4;0;no;no;no;no;yes;yes;no;no;4;4;3;5;1;2;12;13;13;14;0
MS;F;21;R;LE3;A;0;4;health;services;home;father;1;3;1;no;no;no;no;yes;yes;no;yes;1;3;3;3;3;5;5;11;13;13;0
MS;M;18;R;GT3;A;4;0;at_home;teacher;course;other;4;2;0;yes;no;no;yes;yes;yes;no;yes;2;1;1;3;4;1;12;10;11;12;0
GP;F;20;U;GT3;T;2;1;services;health;home;father;3;2;0;yes;yes;no;no;no;yes;no;no;2;2;4;4;5;4;1;10;12;12;0
GP;F;21;R;LE3;T;2;4;at_home;health;other;mother;3;2;0;no;no;no;yes;yes;yes;yes;no;1;5;3;2;2;1;0;14;15;15;0
MS;M;18;U;GT3;T;0;1;health;other;other;father;3;3;0;no;yes;no;no;no;yes;no;yes;4;1;4;1;1;1;9;7;9;9;1
MS;F;17;U;LE3;A;1;3;teacher;services;home;father;2;3;0;no;no;no;no;no;yes;no;no;1;4;3;4;5;2;1;12;13;14;0
MS;M;16;U;GT3;T;3;3;teacher;at_home;home;mother;2;4;0;no;no;no;no;yes;yes;yes;yes;5;4;5;4;2;1;2;9;9;10;0
GP;F;21;U;LE3;A;1;3;teacher;services;home;mother;4;3;0;no;no;yes;no;no;yes;no;yes;3;2;5;1;4;4;8;13;15;15;0
MS;M;19;U;LE3;A;4;0;services;services;other;other;3;3;0;no;yes;no;no;yes;yes;yes;yes;5;2;5;3;4;5;15;10;11;11;0
GP;F;19;R;GT3;T;2;3;other;at_home;reputation;other;2;1;0;no;yes;no;no;no;yes;no;no;3;5;2;2;5;4;14;12;12;12;0
GP;M;17;U;LE3;T;0;4;other;other;course;mother;3;4;0;no;yes;no;yes;yes;yes;yes;no;2;5;3;3;2;2;14;9;11;11;0
GP;M;18;U;LE3;A;0;1;at_home;services;course;mother;2;2;0;yes;yes;yes;yes;yes;yes;yes;no;4;2;2;4;4;4;20;7;7;8;1
GP;M;15;R;GT3;T;3;2;services;health;other;mother;1;3;2;yes;no;no;no;no;yes;no;no;1;2;4;2;5;3;13;9;8;9;1
GP;M;18;U;LE3;A;1;4;teacher;at_home;course;father;1;2;0;yes;yes;yes;yes;yes;yes;no;yes;4;4;2;5;4;5;12;10;12;12;0
MS;M;17;R;LE3;T;3;4;teacher;teacher;home;father;3;2;0;no;yes;no;no;no;yes;no;no;1;2;4;4;4;3;5;17;19;19;0
MS;F;19;R;GT3;T;2;3;health;other;reputation;father;4;1;0;no;no;no;yes;yes;yes;no;yes;5;3;4;3;4;3;4;10;10;11;0
MS;F;18;R;GT3;A;3;0;health;at_home;course;mother;2;3;0;no;no;yes;no;yes;yes;yes;yes;5;1;4;3;3;2;5;12;12;12;0
MS;F;19;U;LE3;T;0;1;teacher;teacher;reputation;other;2;4;0;yes;yes;no;yes;yes;yes;yes;yes;1;2;2;3;2;1;7;10;10;11;0
MS;M;21;U;LE3;A;0;0;teacher;teacher;home;mother;1;3;1;no;no;yes;no;no;yes;yes;no;4;5;3;1;5;3;5;8;9;10;0
GP;F;15;U;GT3;T;4;1;services;services;course;father;1;2;0;yes;yes;yes;yes;no;yes;no;yes;1;3;2;4;5;4;3;14;16;16;0
MS;M;21;R;GT3;A;4;1;other;services;other;father;4;4;0;no;no;no;no;yes;no;yes;yes;2;5;3;2;2;1;11;12;13;14;0
MS;M;19;U;LE3;A;2;0;health;services;reputation;mother;4;3;0;yes;yes;no;yes;no;yes;no;no;5;3;3;3;2;4;15;7;8;9;1
GP;F;19;U;GT3;T;1;4;other;at_home;home;mother;4;2;0;yes;yes;no;no;yes;yes;no;yes;2;2;4;3;2;4;3;16;15;16;0
MS;F;16;U;LE3;A;3;1;services;at_home;reputation;father;3;2;0;yes;yes;no;no;no;yes;yes;no;5;1;2;1;2;1;5;14;13;14;0
GP;M;16;R;LE3;T;2;0;teacher;other;course;father;1;1;2;no;yes;yes;no;no;yes;no;no;5;5;3;2;1;1;0;7;8;8;1
MS;F;21;R;LE3;T;4;1;other;services;course;father;3;1;0;yes;yes;yes;yes;yes;yes;yes;no;3;3;5;4;5;4;4;11;11;12;0
GP;M;20;U;LE3;T;3;2;teacher;teacher;other;mother;1;1;0;no;no;no;yes;yes;yes;no;yes;2;4;3;5;1;2;7;11;11;12;0
MS;M;21;U;LE3;A;4;4;teacher;health;home;father;1;2;0;no;yes;yes;yes;yes;yes;yes;no;2;2;5;1;4;5;7;11;12;13;0
MS;M;16;U;GT3;A;3;3;at_home;other;home;father;2;3;0;no;yes;yes;no;yes;yes;no;no;3;1;2;4;4;5;18;10;11;11;0
GP;M;19;U;GT3;T;1;1;other;at_home;other;other;1;1;0;no;yes;no;yes;yes;yes;yes;no;4;2;2;5;5;2;7;15;15;15;0
GP;M;17;R;GT3;T;2;2;other;other;other;mother;1;3;0;no;yes;yes;no;no;yes;yes;no;2;4;2;3;4;1;22;9;10;10;0
GP;F;21;R;GT3;A;3;3;teacher;other;home;other;3;1;0;yes;yes;yes;yes;no;yes;no;yes;1;1;3;3;2;4;1;9;9;10;0
GP;F;19;R;LE3;T;0;3;services;other;reputation;other;1;4;0;no;no;no;yes;yes;yes;no;no;3;4;1;2;1;5;3;11;11;11;0
GP;M;17;R;LE3;T;0;1;at_home;other;reputation;father;3;4;0;no;no;yes;yes;yes;yes;yes;yes;2;2;3;5;2;4;1;11;11;11;0
GP;M;17;U;LE3;A;3;0;teacher;health;other;mother;4;1;1;no;yes;no;yes;yes;yes;no;no;4;3;3;3;4;2;10;7;9;9;1
GP;F;16;U;LE3;T;3;1;health;services;reputation;father;1;2;0;no;no;yes;no;no;yes;no;yes;2;2;4;3;1;4;2;14;13;14;0
GP;F;21;U;GT3;A;3;2;health;teacher;home;mother;1;1;0;no;yes;no;yes;yes;yes;no;no;5;2;4;2;2;2;9;13;13;13;0
MS;M;18;R;LE3;T;0;3;at_home;other;course;other;3;1;0;yes;no;yes;yes;yes;yes;yes;yes;1;2;3;4;5;1;14;12;13;13;0
MS;F;15;U;LE3;A;0;1;services;other;course;mother;4;2;0;yes;no;yes;no;no;yes;yes;no;3;5;5;3;2;2;6;12;12;12;0
GP;M;16;R;GT3;T;3;0;teacher;other;reputation;father;2;4;0;no;yes;no;no;no;yes;no;yes;5;4;4;1;4;2;38;7;8;9;1
MS;F;16;R;GT3;T;4;1;other;services;other;father;4;3;0;yes;no;no;yes;no;yes;no;yes;4;4;3;1;1;5;12;15;15;16;0
MS;M;18;U;GT3;A;4;4;at_home;at_home;other;father;3;1;0;yes;no;no;yes;no;yes;yes;yes;5;4;1;4;5;4;9;13;15;15;0
MS;F;15;U;GT3;T;1;0;services;at_home;other;mother;4;2;0;no;yes;no;no;yes;yes;no;no;5;5;5;5;1;5;14;13;13;13;0
MS;M;19;U;LE3;A;2;2;other;health;other;other;3;1;0;yes;yes;yes;no;no;yes;yes;yes;4;3;2;2;5;3;12;12;14;14;0
GP;F;20;R;LE3;T;4;3;health;at_home;other;other;3;2;0;no;no;yes;no;no;yes;no;yes;5;2;3;1;1;2;12;6;7;8;1
MS;F;21;U;GT3;A;0;1;health;other;reputation;mother;2;3;1;yes;no;yes;yes;yes;yes;no;yes;3;3;3;1;4;3;1;9;8;9;1
GP;M;20;R;LE3;A;4;0;other;other;course;father;1;3;0;yes;no;no;yes;yes;yes;no;yes;2;5;5;4;5;5;1;13;13;13;0
MS;F;19;U;LE3;A;1;4;at_home;other;course;other;3;4;0;yes;yes;yes;yes;yes;yes;yes;no;5;4;4;5;3;4;6;10;10;11;0
MS;M;16;R;LE3;A;1;0;health;health;reputation;father;3;2;0;no;no;yes;no;no;yes;yes;yes;3;2;4;5;1;5;7;9;10;10;0
MS;F;15;R;GT3;T;2;4;teacher;other;other;mother;2;2;0;yes;no;no;no;yes;no;yes;yes;2;1;4;4;1;4;19;11;11;12;0
GP;M;16;U;LE3;T;4;2;other;at_home;reputation;father;3;4;0;yes;no;no;no;no;yes;yes;yes;2;1;2;1;2;4;17;15;15;15;0
MS;F;17;R;GT3;A;0;3;other;services;course;other;1;4;1;no;yes;yes;yes;no;yes;no;no;5;3;5;2;5;1;4;8;9;10;0
GP;M;16;R;LE3;A;0;2;health;services;home;other;2;2;1;no;yes;no;no;no;no;no;yes;3;4;5;1;3;2;4;9;11;11;0
MS;F;16;U;LE3;A;3;1;at_home;teacher;reputation;father;1;4;0;yes;yes;yes;yes;yes;yes;yes;yes;5;1;4;5;4;5;1;12;12;13;0
GP;M;19;R;LE3;T;0;0;teacher;at_home;other;mother;1;3;2;no;yes;yes;no;no;no;no;yes;4;3;4;1;2;4;7;5;6;6;1
MS;F;19;U;GT3;T;2;4;at_home;other;course;father;2;1;3;yes;no;no;yes;yes;no;no;yes;2;5;1;2;3;5;14;5;5;5;1
